,IDENTIFIANT,EPAI_COILC,LARGCOILVISC,Aluminium,Azote,Bore,Carbone,Chrome,Cuivre,Etain,Manganese,Molybdene,Nickel,Niobium,Phosphore,Silicium,Soufre,Titane
257,18P245,4.0500002,911,311,55,31,2300,1614,112,27,11580,13,125,2,133,2479.0,10,385
258,18P246,4.25,923,341,47,28,2314,1701,120,14,11965,21,133,3,114,2584.0,10,394
259,18P247,4.8499999,913,349,55,29,2261,1660,112,15,11560,18,127,4,133,2481.0,10,390
260,18P248,4.25,906,345,52,31,2310,1642,57,5,11660,16,116,3,114,2536.0,10,367
261,18P250,3.9500003,890,325,51,29,2282,1692,112,13,11652,15,128,2,133,2524.0,7,385
262,18R001,4.8400002,1123,536,59,0,263,481,120,40,2392,7,121,2,84,95.0,99,5
263,18R002,4.04,1028,399,57,0,414,206,74,10,1841,1,122,1,81,84.0,62,5
264,18R003,4.8400002,918,531,53,0,291,378,115,32,2318,12,124,2,91,102.0,130,7
265,18R004,4.8400002,918,594,54,0,309,395,137,76,2529,16,132,2,77,98.0,114,8
266,18R005,4.54,933,337,22,30,277,260,141,12,1768,17,145,2,74,56.0,64,2
267,18R006,3.6400001,1028,222,59,0,559,262,226,91,2594,11,126,2,101,62.0,94,2
268,18R007,3.8399999,1243,552,64,0,677,357,296,24,3966,15,150,2,142,127.0,86,8
269,18R008,3.8399999,1276,386,43,0,377,327,372,161,1752,21,186,2,164,48.0,143,2
270,18R009,3.6400001,1281,363,41,0,439,288,71,28,1893,2,122,12,146,68.0,72,4
271,18R010,3.4400001,1315,493,69,0,282,364,254,60,2228,5,149,2,74,60.0,108,3
272,18R011,2.74,1354,543,55,0,674,252,84,38,3101,14,104,3,127,78.0,93,6
273,18R012,2.54,1353,616,48,0,726,245,231,18,3246,14,150,3,86,116.0,51,8
274,18R013,2.8399999,1303,627,17,0,16,237,87,17,863,9,142,1,115,37.0,95,469
275,18R014,4.04,1281,477,29,6,15,470,117,30,4985,19,124,3,380,43.0,54,120
276,18R015,3.24,1281,347,27,4,18,241,54,7,3538,2,112,3,441,37.0,53,120
277,18R016,2.24,1283,598,27,0,18,271,101,58,871,15,121,1,79,45.0,75,437
278,18R017,2.24,1282,464,43,0,691,471,303,102,2942,22,152,2,171,88.0,108,6
279,18R018,2.24,1282,589,36,0,700,220,129,41,3155,8,105,2,77,78.0,61,5
280,18R019,2.24,1282,589,36,0,700,220,129,41,3155,8,105,2,77,78.0,61,5
281,18R020,2.22,1270,310,32,34,290,460,140,17,2810,13,110,2,87,54.0,48,2
282,18R021,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
283,18R022,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
284,18R023,2.22,1270,302,37,35,314,471,140,17,3022,13,126,2,53,48.0,60,2
285,18R024,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
286,18R025,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
287,18R026,2.22,1270,273,12,31,292,458,176,12,2798,19,161,2,80,54.0,66,2
288,18R027,2.22,1270,302,37,35,314,471,140,17,3022,13,126,2,53,48.0,60,2
289,18R028,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
290,18R029,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
291,18R030,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
292,18R031,2.22,1270,292,8,31,276,443,124,13,2792,25,112,2,101,43.0,71,2
293,18R032,2.22,1270,339,13,32,272,433,123,16,2825,14,108,2,143,43.0,73,3
294,18R033,2.22,1270,237,27,36,291,441,115,35,3037,10,119,2,113,57.0,89,3
295,18R034,2.22,1270,306,19,33,278,434,181,16,2863,19,168,2,152,43.0,80,2
296,18R035,2.22,1270,306,19,33,278,434,181,16,2863,19,168,2,152,43.0,80,2
297,18R036,2.22,1270,306,19,33,278,434,181,16,2863,19,168,2,152,43.0,80,2
298,18R037,2.22,1270,289,26,31,310,429,130,17,2899,9,110,2,164,67.0,66,3
299,18R038,2.22,1270,273,12,31,292,458,176,12,2798,19,161,2,80,54.0,66,2
300,18R039,2.22,1270,326,32,32,290,429,109,13,2794,12,111,3,118,60.0,63,4
301,18R040,2.22,1270,326,32,32,290,429,109,13,2794,12,111,3,118,60.0,63,4
302,18R041,2.22,1270,326,32,32,290,429,109,13,2794,12,111,3,118,60.0,63,4
303,18R042,2.22,1270,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
304,18R043,2.22,1270,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
305,18R044,2.22,1270,326,32,32,290,429,109,13,2794,12,111,3,118,60.0,63,4
306,18R045,2.22,1270,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
307,18R046,2.22,1270,273,12,31,292,458,176,12,2798,19,161,2,80,54.0,66,2
308,18R047,2.22,1270,273,12,31,292,458,176,12,2798,19,161,2,80,54.0,66,2
309,18R048,2.22,1270,273,12,31,292,458,176,12,2798,19,161,2,80,54.0,66,2
310,18R049,2.22,1270,289,26,31,310,429,130,17,2899,9,110,2,164,67.0,66,3
311,18R050,2.52,1142,310,32,34,290,460,140,17,2810,13,110,2,87,54.0,48,2
312,18R051,2.52,1142,310,20,33,290,440,140,72,2790,13,110,1,150,47.0,82,2
313,18R052,2.22,1142,310,32,34,290,460,140,17,2810,13,110,2,87,54.0,48,2
314,18R053,2.22,1142,310,20,33,290,440,140,72,2790,13,110,1,150,47.0,82,2
