product_id,mean,std,min,max,range,high_state_mean,low_state_mean,high_state_ratio,high_state_std,low_state_std,transition_point,transition_magnitude,trend_slope,EPAI_COILC,LARGCOILVISC,Aluminium,Azote,Bore,Carbone,Chrome,Cuivre,Etain,Manganese,Molybdene,Nickel,Niobium,Phosphore,Silicium,Soufre,Titane
18R067,103.82236250866666,265.6863925867462,-183.993,601.831,785.8240000000001,328.67472546012266,-163.70271165985403,0.5433333333333333,134.09384915070058,32.89320937060241,0.5066666666666667,65.34100000000001,-2.7197488660940237,2.22,1142,289,26,31,310,429,130,17,2899,9,110,2,164,67.0,66,3
18R068,108.42437999999999,266.60814518616456,-181.522,591.366,772.8879999999999,327.9714634730539,-167.2475218045113,0.5566666666666666,133.82607795848958,30.53051532043662,0.55,79.5135,-2.7236303874931944,2.22,1142,237,27,36,291,441,115,35,3037,10,119,2,113,57.0,89,3
18R069,106.70054199999998,263.413216926808,-180.533,597.629,778.162,320.76003491124266,-169.45254427480918,0.5633333333333334,132.62972835333454,21.010091873951215,0.5633333333333334,85.85810000000001,-2.6646600616895757,2.22,1142,339,13,32,272,433,123,16,2825,14,108,2,143,43.0,73,3
18R070,104.27505900000001,262.75146873463353,-184.323,586.917,771.24,320.91766325301205,-164.10309253731344,0.5533333333333333,135.45497395355036,36.0024242499429,0.5033333333333333,58.66700000000003,-2.6428228669874114,2.22,1142,289,26,31,310,429,130,17,2899,9,110,2,164,67.0,66,3
18R071,100.76877766666668,264.5239117332498,-185.724,588.894,774.6179999999999,323.01103353658533,-167.2292367647059,0.5466666666666666,134.74449076304495,26.431097708662435,0.5266666666666666,85.77569999999999,-2.656067512016801,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
18R072,101.62049566666666,259.64090465506393,-184.9,578.512,763.4119999999999,315.49337305389224,-166.92665112781953,0.5566666666666666,131.02986105188003,24.010137860775117,0.56,110.57730000000001,-2.5984082153135053,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
18R073,103.36237633333334,259.11389273619443,-183.911,582.055,765.9659999999999,316.8363670658682,-164.68391278195486,0.5566666666666666,129.44523862532665,31.028080446375174,0.5566666666666666,86.7645,-2.605455165612949,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
18R074,104.786479,266.88457942637257,-183.911,587.741,771.652,334.1368555555556,-164.4509195652174,0.54,127.26076595505761,34.66554569845901,0.13666666666666666,58.66700000000003,-2.7122271063678465,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
18R075,104.60628116666666,264.847752400613,-185.641,594.58,780.221,325.01817319277103,-168.44128656716416,0.5533333333333333,131.44143330552052,22.544131172145136,0.5533333333333333,57.51345,-2.6732019944999386,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
18R076,107.47426699999998,263.4671616903079,-180.45,600.677,781.127,324.8772964071856,-165.5054766917293,0.5566666666666666,130.7428143393195,29.327074911026372,0.5766666666666667,54.135099999999994,-2.6737837308192303,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
18R077,107.04028196666668,266.0884217281383,-184.735,596.393,781.128,325.82659041916173,-167.6763609774436,0.5566666666666666,135.62593867326592,25.43109244155123,0.5666666666666667,89.97799,-2.684293867974087,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
18R078,105.99416013333332,267.1592552668522,-181.851,597.217,779.068,328.2149056969697,-165.60897333333338,0.55,137.8250051588526,29.774141605487337,0.55,118.8995,-2.7009507086345406,2.22,1142,321,25,33,285,449,133,14,2987,13,110,3,136,53.0,80,4
18R079,103.80405530000002,264.4074451239692,-183.581,601.336,784.917,317.1511725595238,-167.72863939393937,0.56,143.18021584477134,27.720885930539968,0.056666666666666664,135.70800000000003,-2.613622696018845,2.22,1142,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
18R080,102.54797766666665,260.75792828727447,-182.675,582.055,764.73,323.25871840490794,-160.04947299270074,0.5433333333333333,129.85204042057566,39.42785741736289,0.5433333333333333,95.8282,-2.6373302469805218,2.22,1142,274,36,36,278,472,146,16,2957,8,124,4,107,62.0,68,2
18R081,100.81274033333332,261.519176778984,-181.604,576.123,757.7270000000001,316.34660120481925,-166.1918932835821,0.5533333333333333,137.11660044735515,24.91656021551255,0.5,87.588,-2.6329535836842624,2.22,1142,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
18R082,99.09606966666666,260.81445799158166,-183.087,579.748,762.835,315.65558303030303,-165.58777999999998,0.55,136.3385333570164,26.60160370609149,0.55,72.0154,-2.6177113411704593,2.22,1142,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
18R083,100.29360439999999,262.9403071680104,-183.993,578.348,762.3409999999999,317.71756084337346,-169.0524908955224,0.5533333333333333,135.33324195416236,24.749356350685385,0.49666666666666665,66.65899999999999,-2.6411605210769,2.22,1142,313,23,30,275,464,96,40,2902,10,200,3,104,49.0,76,2
18R084,136.04257335,290.38304803325804,-227.087,671.045,898.132,351.56871366120225,-201.06241534188035,0.61,131.5275052859311,48.01083996762395,0.5766666666666667,70.69699999999999,-2.8256779434582597,2.02,1121,561,59,0,255,463,78,8,2554,7,127,3,113,94.0,102,5
18R085,150.50358433333332,282.913650042772,-225.192,651.022,876.214,348.99820781249997,-202.3757462962963,0.64,120.50358528312823,36.82138423807462,0.64,132.9894,-2.7395449550106092,2.02,1121,584,45,0,266,414,92,9,2423,3,121,5,141,138.0,113,7
18R086,127.57509259999993,320.32870209196386,-220.825,699.06,919.885,381.46152210526316,-208.97203488372094,0.57,170.69155371289204,27.107290322982795,0.5266666666666666,115.27400000000003,-3.2300114514161296,2.02,1091,504,30,0,793,180,100,57,4627,11,112,3,101,144.0,79,8
18R087,150.11160466666666,319.78304346780203,-225.687,714.468,940.155,391.7020865168539,-202.372868852459,0.5933333333333334,164.27495746285962,45.67770848658713,0.5466666666666666,62.869,-3.3083436368404096,2.02,1091,608,34,1,667,218,148,15,4098,23,140,2,139,136.0,74,12
18R088,134.68519,304.7387464471214,-216.211,703.427,919.638,364.78834802259894,-196.43886666666666,0.59,164.05106762271575,37.59071439576375,0.59,71.8506,-3.103462518605762,2.22,1028,173,63,1,665,278,292,25,2663,17,152,2,98,56.0,95,3
18R089,124.27647366666662,312.27509863949086,-214.233,696.753,910.9860000000001,383.80075272727265,-192.9198674074074,0.55,159.98992870531424,44.32650527769538,0.5933333333333334,57.184,-3.1978151293014365,2.22,1028,208,60,0,689,256,143,14,2887,7,121,3,96,52.0,81,2
18R090,125.46572833333335,291.2393494448953,-207.724,660.663,868.387,353.8150526011561,-185.5928,0.5766666666666667,149.17525218641154,42.23195644609566,0.5733333333333334,55.9478,-2.908294128090311,2.02,1024,512,33,2,649,333,290,89,4270,18,141,3,123,154.0,150,8
18R091,127.88497866666667,297.0451373285239,-207.971,683.157,891.128,362.0567587209303,-186.78335078125002,0.5733333333333334,153.20762821007963,45.48640828831205,0.5733333333333334,71.1913,-2.991887732485917,2.02,1024,580,39,1,644,140,105,11,3963,13,112,2,74,95.0,56,5
18R092,124.64918533333332,292.9935188312848,-208.548,665.359,873.907,355.8318720930232,-186.00254999999999,0.5733333333333334,150.72918856166643,43.24679935778735,0.5633333333333334,90.96675,-2.9566073942377114,2.02,1024,542,40,1,645,240,96,13,4109,15,110,2,123,81.0,101,5
18R093,132.020138,289.8257002949894,-194.293,639.569,833.862,363.8032755813954,-179.438453125,0.5733333333333334,139.94034495960233,29.387830305100913,0.5966666666666667,91.3783,-3.043711321859132,2.02,961,520,42,0,646,314,311,62,4099,15,158,3,92,110.0,98,7
18R094,132.53981786666665,277.97162568556587,-188.113,626.715,814.828,339.2302192222222,-177.49578416666665,0.6,146.14157372334256,21.657554909119174,0.6,73.08648000000001,-2.911339053216146,2.02,948,218,58,0,754,234,126,44,2787,15,136,1,83,45.0,96,2
